ID;Bezeichnung;WKN;secu;ISIN;Branche;Sektor;Indizes;WP_Art;Veraenderung_zum_Vortag_€;Veraenderung_zum_Vortag_%;link_Hauptseite;link_Chart;link_Kurshistorie;link_Analysten;link_GuV;Boerse_ID;;;;
230011;TFI International Inc.;A2DJ2Q;;IT0004056880;Medizinischer Vertrieb;Gesundheitswesen;;;0;0;;;;;;6;;https://www.ariva.de/TFI-aktie;;https://www.ariva.de/TFI-aktie/Kurse/historische-kurse
230012;Knight-Swift Transp. Hldgs Inc;A2DW9M;;SE0000108656;Kommunikationseinrichtung;Technologie;;;0;0;;;;;;6;;https://www.ariva.de/Knight-Swift-aktie;;https://www.ariva.de/Knight-Swift-aktie/Kurse/historische-kurse
230013;Intact Financial Corp.;A0RNQW;;CA14042M1023;Versorgungsunternehmen - Unabhängige Energieerzeuger;Versorger;;;0;0;;;;;;6;;https://www.ariva.de/Intact-aktie;;https://www.ariva.de/Intact-aktie/Kurse/historische-kurse
230014;SKF AB;852608;;CA87241L1094;Spedition;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/SKF-aktie;;https://www.ariva.de/SKF-aktie/Kurse/historische-kurse
230015;Roblox;A2QHVS;;US4990491049;Spedition;Industrie;;;0;0;;;;;;6;;#WERT!;;#WERT!
230016;Bunge Ltd.;762269;;CA45823T1066;Sach- und Unfallversicherung;Finanzdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/Bunge-aktie;;https://www.ariva.de/Bunge-aktie/Kurse/historische-kurse
230017;Mowi ASA;924848;;;REIT - Industrielle;Immobilien;;;0;0;;;;;;6;;https://www.ariva.de/Mowi-aktie;;https://www.ariva.de/Mowi-aktie/Kurse/historische-kurse
230018;Salmar ASA;A0MR2G;;;Persönliche Dienstleistungen;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Salmar-aktie;;https://www.ariva.de/Salmar-aktie/Kurse/historische-kurse
230019;Alimentation Couche-Tard;A3DSL8;;SE0000108227;Werkzeuge und Zubehör;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Alimentation-aktie;;https://www.ariva.de/Alimentation-aktie/Kurse/historische-kurse
230020;Kuehne + Nagel International AG;A0JLZL;;US7710491033;Elektronische Spiele und Multimedia;Kommunikationsdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/Kuehne-aktie;;https://www.ariva.de/Kuehne-aktie/Kurse/historische-kurse
230021;H & M Hennes & Mauritz AB;872318;;BMG169621056;Landwirtschaftliche Erzeugnisse;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/H-aktie;;https://www.ariva.de/H-aktie/Kurse/historische-kurse
230022;Moncler S.p.A.;A1W66W;;NO0003054108;Landwirtschaftliche Erzeugnisse;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Moncler-aktie;;https://www.ariva.de/Moncler-aktie/Kurse/historische-kurse
230023;LPP S.A.;121065;;NO0010310956;Landwirtschaftliche Erzeugnisse;Defensive Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/LPP-aktie;;https://www.ariva.de/LPP-aktie/Kurse/historische-kurse
230024;UNIVERSAL MUSIC GROUP EO1;A3C291;;CA01626P1484;Fachhandel;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/UNIVERSAL-aktie;;https://www.ariva.de/UNIVERSAL-aktie/Kurse/historische-kurse
230025;Enbridge Inc.;885427;;CH0025238863;Integrierte Fracht & Logistik;Industrie;;;0;0;;;;;;6;;https://www.ariva.de/Enbridge-aktie;;https://www.ariva.de/Enbridge-aktie/Kurse/historische-kurse
230026;Enterprise Prods Partners L.P.;915716;;;Medizinische Versorgungseinrichtungen;Gesundheitswesen;;;0;0;;;;;;6;;https://www.ariva.de/Enterprise-aktie;;https://www.ariva.de/Enterprise-aktie/Kurse/historische-kurse
230027;Energy Transfer L.P.;A0JJTN;;SE0000106270;Bekleidungsherstellung;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Energy-aktie;;https://www.ariva.de/Energy-aktie/Kurse/historische-kurse
230028;Umicore S.A.;A2H5A3;;IT0004965148;Bekleidungsherstellung;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Umicore-aktie;;https://www.ariva.de/Umicore-aktie/Kurse/historische-kurse
230029;Hexagon AB;A3CMTD;;PLLPP0000011;Bekleidungsherstellung;Zyklische Konsumgüter;;;0;0;;;;;;6;;https://www.ariva.de/Hexagon-aktie;;https://www.ariva.de/Hexagon-aktie/Kurse/historische-kurse
230030;VIZIO Holding Corp;A2QR0L;;NL0015000IY2;Unterhaltung;Kommunikationsdienstleistungen;;;0;0;;;;;;6;;https://www.ariva.de/VIZIO-aktie;;https://www.ariva.de/VIZIO-aktie/Kurse/historische-kurse
230031;MEDION AG;660500;;;REIT - Medizinische Einrichtungen;Immobilien;;;0;0;;;;;;6;;https://www.ariva.de/MEDION-aktie;;https://www.ariva.de/MEDION-aktie/Kurse/historische-kurse
